몬스터 성장 ID,스테이지 레벨,공격력 배율,공격속도 배율,체력 배율
2310058,58,1.13,1,1.13
2310059,59,1.13,1,1.13
2310060,60,1.13,1,1.13
2310061,61,1.13,1,1.13
2310062,62,1.13,1,1.13
2310063,63,1.13,1,1.13
2310064,64,1.13,1,1.13
2310065,65,1.13,1,1.13
2310066,66,1.13,1,1.13
2310067,67,1.13,1,1.13
2310068,68,1.13,1,1.13
2310069,69,1.13,1,1.13
2310070,70,1.13,1,1.13
2310071,71,1.13,1,1.13
2310072,72,1.13,1,1.13
2310073,73,1.13,1,1.13
2310074,74,1.13,1,1.13
2310075,75,1.13,1,1.13
2310076,76,1.13,1,1.13
2310077,77,1.13,1,1.13
2310078,78,1.13,1,1.13
2310079,79,1.13,1,1.13
2310080,80,1.13,1,1.13
2310081,81,1.13,1,1.13
2310082,82,1.13,1,1.13
2310083,83,1.13,1,1.13
2310084,84,1.13,1,1.13
2310085,85,1.13,1,1.13
2310086,86,1.13,1,1.13
2310087,87,1.13,1,1.13
2310088,88,1.13,1,1.13
2310089,89,1.13,1,1.13
2310090,90,1.13,1,1.13
2310091,91,1.13,1,1.13
2310092,92,1.13,1,1.13
2310093,93,1.13,1,1.13
2310094,94,1.13,1,1.13
2310095,95,1.13,1,1.13
2310096,96,1.13,1,1.13
2310097,97,1.13,1,1.13
2310098,98,1.13,1,1.13
2310099,99,1.13,1,1.13
2310100,100,1.13,1,1.13
2310101,101,1.13,1,1.13
2310102,102,1.13,1,1.13
2310103,103,1.13,1,1.13
2310104,104,1.13,1,1.13
2310105,105,1.13,1,1.13
2310106,106,1.13,1,1.13
2310107,107,1.13,1,1.13
2310108,108,1.13,1,1.13
2310109,109,1.13,1,1.13
2310110,110,1.13,1,1.13
2310111,111,1.13,1,1.13
2310112,112,1.13,1,1.13
2310113,113,1.13,1,1.13
2310114,114,1.13,1,1.13
2310115,115,1.13,1,1.13
2310116,116,1.13,1,1.13
2310117,117,1.13,1,1.13
2310118,118,1.13,1,1.13
2310119,119,1.13,1,1.13
2310120,120,1.13,1,1.13
2310121,121,1.13,1,1.13
2310122,122,1.13,1,1.13
2310123,123,1.13,1,1.13
2310124,124,1.13,1,1.13
2310125,125,1.13,1,1.13
2310126,126,1.13,1,1.13
2310127,127,1.13,1,1.13
2310128,128,1.13,1,1.13
2310129,129,1.13,1,1.13
2310130,130,1.13,1,1.13
2310131,131,1.13,1,1.13
2310132,132,1.13,1,1.13
2310133,133,1.13,1,1.13
2310134,134,1.13,1,1.13
2310135,135,1.13,1,1.13
2310136,136,1.13,1,1.13
2310137,137,1.13,1,1.13
2310138,138,1.13,1,1.13
2310139,139,1.13,1,1.13
2310140,140,1.13,1,1.13
2310141,141,1.13,1,1.13
2310142,142,1.13,1,1.13
2310143,143,1.13,1,1.13
2310144,144,1.13,1,1.13
2310145,145,1.13,1,1.13
2310146,146,1.13,1,1.13
2310147,147,1.13,1,1.13
2310148,148,1.13,1,1.13
2310149,149,1.13,1,1.13
2310150,150,1.13,1,1.13
2310151,151,1.13,1,1.13
2310152,152,1.13,1,1.13
2310153,153,1.13,1,1.13
2310154,154,1.13,1,1.13
2310155,155,1.13,1,1.13
2310156,156,1.13,1,1.13
2310157,157,1.13,1,1.13
2310158,158,1.13,1,1.13
2310159,159,1.13,1,1.13
2310160,160,1.13,1,1.13
2310161,161,1.13,1,1.13
2310162,162,1.13,1,1.13
2310163,163,1.13,1,1.13
2310164,164,1.13,1,1.13
2310165,165,1.13,1,1.13
2310166,166,1.13,1,1.13
2310167,167,1.13,1,1.13
2310168,168,1.13,1,1.13
2310169,169,1.13,1,1.13
2310170,170,1.13,1,1.13
2310171,171,1.13,1,1.13
2310172,172,1.13,1,1.13
2310173,173,1.13,1,1.13
2310174,174,1.13,1,1.13
2310175,175,1.13,1,1.13
2310176,176,1.13,1,1.13
2310177,177,1.13,1,1.13
2310178,178,1.13,1,1.13
2310179,179,1.13,1,1.13
2310180,180,1.13,1,1.13
2310181,181,1.13,1,1.13
2310182,182,1.13,1,1.13
2310183,183,1.13,1,1.13
2310184,184,1.13,1,1.13
2310185,185,1.13,1,1.13
2310186,186,1.13,1,1.13
2310187,187,1.13,1,1.13
2310188,188,1.13,1,1.13
2310189,189,1.13,1,1.13
2310190,190,1.13,1,1.13
2310191,191,1.13,1,1.13
2310192,192,1.13,1,1.13
2310193,193,1.13,1,1.13
2310194,194,1.13,1,1.13
2310195,195,1.13,1,1.13
2310196,196,1.13,1,1.13
2310197,197,1.13,1,1.13
2310198,198,1.13,1,1.13
2310199,199,1.13,1,1.13
2310200,200,1.13,1,1.13
